primary_types,longitude,latitude,count,zone_id
restaurant,-122.4194,37.7749,25,1001
shopping_mall,-122.4194,37.7849,12,1002
restaurant,-122.4294,37.7749,18,1003
gas_station,-122.4194,37.7649,8,1004
hospital,-122.4094,37.7749,3,1005
restaurant,-122.4394,37.7749,22,1006
park,-122.4194,37.7949,15,1007
shopping_mall,-122.4294,37.7849,20,1008
restaurant,-122.4094,37.7649,14,1009
airport,-122.4394,37.7849,1,1010
bank,-122.4194,37.7749,6,1001
school,-122.4294,37.7749,4,1003
library,-122.4394,37.7749,2,1006
gym,-122.4194,37.7949,8,1007
cafe,-122.4094,37.7649,12,1009
